[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.205.214.194:5000
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [23/Sep/2026 16:31:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:34:41] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:34:46] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:34:51] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:34:56] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:01] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:06] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:11] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:16] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:21] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:26] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:31] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:36] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:41] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:46] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2026 16:35:51] "GET /report/2026_09_23_13_31_51 HTTP/1.1" 200 -
